,sentence_index,sentence_original,clause,term,opinion,category,polarity,polarity_score
0,1,the right choice,the right choice,choice,right,Experience,Positive,0.9795
1,2,view over the city center and the chilling new subway line,view over the city center,view,over the city center,Experience,Positive,0.8861
2,2,view over the city center and the chilling new subway line,the chilling new subway line,subway line,chilling,Amenity,Negative,0.9462
3,4,the host was so friendly i got back to the hotel around 1 00 a m and he was still waiting for me to show him how to check in,the host was so friendly,host,friendly,Service,Positive,0.9855
4,4,the host was so friendly i got back to the hotel around 1 00 a m and he was still waiting for me to show him how to check in,i got back to the hotel around 1 00 a m and he was still waiting for me to show him how to check in,host,waiting,Service,Negative,0.8312
5,7,the owner is enthusiastic sweet fully furnished loves the big screen tv,the owner is enthusiastic,owner,enthusiastic,Service,Positive,0.9685
6,7,the owner is enthusiastic sweet fully furnished loves the big screen tv,sweet,owner,sweet,Service,Positive,0.9871
7,7,the owner is enthusiastic sweet fully furnished loves the big screen tv,fully furnished,,fully furnished,Facility,Positive,0.9944
8,7,the owner is enthusiastic sweet fully furnished loves the big screen tv,loves the big screen tv,tv,loves,Facility,Positive,0.9911
9,9,very good,very good,,very good,Experience,Positive,0.9977
10,18,it s fully equipped,it s fully equipped,,fully equipped,Facility,Positive,0.9961
11,22,very good,very good,,very good,Experience,Positive,0.9977
12,24,that s great,that s great,,great,Experience,Positive,0.9853
13,29,very good,very good,,very good,Experience,Positive,0.9977
14,35,loaded with all the equipment we need,loaded with all the equipment we need,equipment,loaded with all,Facility,Positive,0.9919
15,38,very good,very good,,very good,Experience,Positive,0.9977
16,39,clean comfortable with a nice view,clean comfortable with a nice view,view,nice view,Experience,Positive,0.9979
17,43,next to minor 2 is located very cheap seafood restaurant i ve been there at least 3 times,next to minor 2 is located very cheap seafood restaurant,restaurant,very cheap,Amenity,Positive,0.7882
18,43,next to minor 2 is located very cheap seafood restaurant i ve been there at least 3 times,i ve been there at least 3 times,restaurant,,Loyalty,Neutral,0.9763
19,44,you have to enjoy the pool on the roof as well,you have to enjoy the pool on the roof as well,pool,enjoy,Facility,Positive,0.9744
20,46,excellent stay,excellent stay,stay,excellent,Experience,Positive,0.9927
21,47,perfect location great facilities everything was cleaned and well prepared,perfect location,location,perfect,Amenity,Positive,0.9917
22,47,perfect location great facilities everything was cleaned and well prepared,great facilities,facilities,great,Facility,Positive,0.9978
23,47,perfect location great facilities everything was cleaned and well prepared,everything was cleaned and well prepared,,"cleaned, well prepared",Facility,Positive,0.997
24,52,really good place to stay during your visit to hcmc,really good place to stay during your visit to hcmc,place,good,Branding,Positive,0.9803
25,54,lovely stay,lovely stay,stay,lovely,Experience,Positive,0.9942
26,56,close to the landmark 81 bulding and the new metro,close to the landmark 81 bulding and the new metro,,,Amenity,Positive,0.8687
27,58,diny is a really nice guy and very helpful,diny is a really nice guy,,nice,Service,Positive,0.9637
28,58,diny is a really nice guy and very helpful,very helpful,,very helpful,Service,Positive,0.9962
29,63,diny is a very kind person always helpful in every matter,diny is a very kind person,,very kind,Service,Positive,0.9942
30,63,diny is a very kind person always helpful in every matter,always helpful in every matter,,helpful,Service,Positive,0.9965
31,64,in our case he was willing to arrange an earlier check in and even offered to change the apartment due to our longer stay,in our case he was willing to arrange an earlier check in,,willing to arrange,Service,Positive,0.9934
32,64,in our case he was willing to arrange an earlier check in and even offered to change the apartment due to our longer stay,even offered to change the apartment due to our longer stay,,offered to change the apartment,Facility,Positive,0.8676
33,66,we could contact diny at any time and he was always ready to help and share his knowledge whether it was about local attractions good restaurants and street food spots or transportation options,we could contact diny at any time and he was always ready to help,,ready to help,Service,Positive,0.9952
34,66,we could contact diny at any time and he was always ready to help and share his knowledge whether it was about local attractions good restaurants and street food spots or transportation options,he was always ready to help and share his knowledge,,"ready to help, share his knowledge",Service,Positive,0.9925
35,66,we could contact diny at any time and he was always ready to help and share his knowledge whether it was about local attractions good restaurants and street food spots or transportation options,whether it was about local attractions good restaurants and street food spots or transportation options,"attraction,restaurant,street food,transportation","good, transportation options",Amenity,Positive,0.9676
